input_text	prefix	target_text
PersonX abandons ___ altogether	xWant	      to start something new    
PersonX abandons ___ altogether	oEffect	         none 
PersonX abandons ___ altogether	oWant	       none   
PersonX abandons the ___ altogether	oWant	       none   
PersonX abandons the ___ altogether	oEffect	         none 
PersonX abolishes ___ altogether	oEffect	         none 
PersonX abolishes ___ altogether	oWant	       to be free   
PersonX abolishes ___ altogether	oReact	     none     
PersonX abolishes ___ altogether	xAttr	  determined        
PersonX abolishes ___ in the states	oEffect	         none 
PersonX abolishes ___ in the states	oWant	       to be free   
PersonX abolishes ___ in the states	xAttr	  determined        
PersonX abolishes ___ in the states	oReact	     none     
PersonX abolishes the ___ altogether	oEffect	         none 
PersonX abolishes the ___ altogether	xReact	    happy      
PersonX about to get married	xAttr	  excited        
PersonX about to get married	xNeed	   get engaged       
PersonX about to get married	xReact	    happy      
PersonX about to get married	oWant	       to be happy with personx   
PersonX absolutely loved	xEffect	        none  
PersonX absolutely loved	xWant	      to marry her    
PersonX absolutely loved	xNeed	   none       
PersonX absolutely loved	oEffect	         none 
PersonX absolutely loved	oWant	       none   
PersonX absolutely loved	xAttr	  loving        
PersonX absolutely loved ___	xAttr	  amiable        
PersonX absolutely loved ___	xNeed	   none       
PersonX absolutely loved ___	oWant	       none   
PersonX absolutely loved ___	oEffect	         none 
PersonX absolutely loved ___	oReact	     none     
PersonX absolutely loved ___	xReact	    happy      
PersonX absolutely loved it	oEffect	         none 
PersonX absolutely loved it	xReact	    happy      
PersonX absolutely loved it	oWant	       none   
PersonX absolutely loved it	xNeed	   none       
PersonX absolutely loved it	xWant	      to buy more    
PersonX absolutely loved it	oReact	     none     
PersonX absolutely loved it	xIntent	 none         
PersonX absorbs every ___	oEffect	         none 
PersonX absorbs every ___	oReact	     none     
PersonX absorbs every ___	oWant	       none   
PersonX absorbs every ___	xNeed	   to be in class       
PersonX absorbs every ___	xEffect	        none  
PersonX accepts PersonY appointment	oReact	     none     
PersonX accepts PersonY appointment	oEffect	         none 
PersonX accepts PersonY thanks	xIntent	 to be gracious         
PersonX accepts PersonY thanks	xReact	    happy      
PersonX accepts PersonY thanks	xAttr	  kind        
PersonX accepts PersonY thanks	oReact	     happy     
PersonX accepts PersonY thanks	xWant	      to be happy    
PersonX accepts PersonY's proposal	xWant	      to marry    
PersonX accepts PersonY's proposal	xEffect	        signs the paper  
PersonX accepts PersonY's proposal	xReact	    happy      
PersonX accepts PersonY's proposal	xIntent	 to be together         
PersonX accepts PersonY's proposal	xNeed	   to like PersonY       
PersonX accepts PersonY's proposal	oWant	       to marry PersonY   
PersonX accepts PersonY's resignation	oEffect	         none 
PersonX accepts PersonY's resignation	xReact	    sad      
PersonX accepts ___ as PersonX's savior	oWant	       none   
PersonX accepts ___ as PersonX's savior	xEffect	        he is saved  
PersonX accepts ___ as PersonX's savior	oEffect	         none 
PersonX accepts ___ as PersonX's savior	xIntent	 to be religious         
PersonX accepts ___ as PersonX's savior	oReact	     none     
PersonX accepts ___ as PersonX's savior	xNeed	   to pray       
PersonX accepts ___ as PersonX's savior	xAttr	  religious        
PersonX accepts another ___	xWant	      to make a handshake deal    
PersonX accepts another ___	xNeed	   to be offered something       
PersonX accepts another ___	oEffect	         none 
PersonX accepts another ___	xAttr	  receptive        
PersonX accepts every ___	oEffect	         none 
PersonX accepts every ___	xEffect	        none  
PersonX accepts every ___	xIntent	 to be agreeable         
PersonX accepts every ___	oReact	     none     
PersonX accepts every ___	oWant	       none   
PersonX accepts every ___	xReact	    happy      
PersonX accepts into college	oReact	     none     
PersonX accepts into college	xNeed	   apply       
